side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
0,0,1,1,5,0,2,6,-824,-348,1,2,-3284,-841,2,5,0
1,1,0,3,2,1,6,1,1141,672,3,1,1066,492,3,1,0
0,0,1,2,3,0,1,6,-1141,-672,1,3,-1066,-492,1,3,1
1,0,0,3,0,0,1,4,-99,8,3,4,-345,-41,3,4,0
0,1,1,0,3,1,4,1,99,-8,4,3,345,41,4,3,1
1,1,1,3,1,0,2,4,1747,933,5,1,2598,1918,9,1,0
0,0,0,1,3,1,4,2,-1747,-933,1,5,-2598,-1918,1,9,1
1,1,1,0,6,0,2,2,225,-629,2,0,62,-269,3,0,0
0,0,0,6,0,1,2,2,-225,629,0,2,-62,269,0,3,1
1,1,1,0,2,1,5,2,327,-7,2,2,-902,-1799,4,7,0
0,0,0,2,0,0,2,5,-327,7,2,2,902,1799,7,4,1
1,1,0,2,4,0,2,1,219,227,1,2,-680,-761,1,2,0
0,0,1,4,2,1,1,2,-219,-227,2,1,680,761,2,1,1
1,1,1,6,0,1,11,2,1432,1588,3,2,6763,4232,10,2,1
0,0,0,0,6,0,2,11,-1432,-1588,2,3,-6763,-4232,2,10,0
1,0,0,5,1,0,3,8,634,-1475,3,4,-620,-1204,7,8,1
0,1,1,1,5,1,8,3,-634,1475,4,3,620,1204,8,7,0
1,0,0,0,6,0,3,4,-1393,-1316,3,3,-1099,-2133,4,3,0
0,1,1,6,0,1,4,3,1393,1316,3,3,1099,2133,3,4,1
1,1,1,6,0,1,4,0,1033,1000,1,1,2287,825,3,2,1
0,0,0,0,6,0,0,4,-1033,-1000,1,1,-2287,-825,2,3,0
1,1,0,6,0,1,8,1,1272,301,0,0,2481,1131,1,1,1
0,0,1,0,6,0,1,8,-1272,-301,0,0,-2481,-1131,1,1,0
1,1,0,4,2,0,2,7,-1515,-676,1,1,-2864,-909,4,4,0
0,0,1,2,4,1,7,2,1515,676,1,1,2864,909,4,4,1
1,1,0,5,1,0,3,3,-235,-980,2,1,500,177,5,1,0
0,0,1,1,5,1,3,3,235,980,1,2,-500,-177,1,5,1
1,1,0,0,6,1,3,3,-1392,-53,2,5,-2746,-1855,3,9,0
0,0,1,6,0,0,3,3,1392,53,5,2,2746,1855,9,3,1
1,1,1,1,5,0,5,13,-471,4,3,3,-1919,912,6,4,1
0,0,0,5,1,1,13,5,471,-4,3,3,1919,-912,4,6,0
1,1,1,3,3,0,4,5,124,-59,2,3,-993,-423,4,7,1
0,0,0,3,3,1,5,4,-124,59,3,2,993,423,7,4,0
1,1,1,2,1,0,1,4,221,546,1,1,689,1299,5,2,0
0,0,0,1,2,1,4,1,-221,-546,1,1,-689,-1299,2,5,1
1,1,1,4,2,1,6,4,2224,1850,5,2,5807,3594,12,3,1
0,0,0,2,4,0,4,6,-2224,-1850,2,5,-5807,-3594,3,12,0
1,0,0,6,0,0,1,5,-429,-696,1,1,-107,-407,2,2,0
0,1,1,0,6,1,5,1,429,696,1,1,107,407,2,2,1
1,0,0,3,0,1,1,1,489,675,2,1,1373,1151,5,3,0
0,1,1,0,3,0,1,1,-489,-675,1,2,-1373,-1151,3,5,1
1,0,0,6,0,1,6,1,-132,453,2,3,260,-83,4,7,1
0,1,1,0,6,0,1,6,132,-453,3,2,-260,83,7,4,0
1,1,0,2,0,0,2,5,40,-553,1,3,-1542,-2728,5,8,0
0,0,1,0,2,1,5,2,-40,553,3,1,1542,2728,8,5,1
1,1,0,6,0,1,11,4,715,-15,3,1,3506,1657,7,2,1
0,0,1,0,6,0,4,11,-715,15,1,3,-3506,-1657,2,7,0
1,1,0,6,0,1,2,5,-1824,-823,1,5,-2027,-1062,3,6,0
0,0,1,0,6,0,5,2,1824,823,5,1,2027,1062,6,3,1
1,0,0,1,5,1,4,4,-764,-539,2,3,-606,-138,3,4,0
0,1,1,5,1,0,4,4,764,539,3,2,606,138,4,3,1
1,1,0,6,0,1,7,3,864,80,3,3,3647,705,9,6,1
0,0,1,0,6,0,3,7,-864,-80,3,3,-3647,-705,6,9,0
1,0,0,3,3,1,7,6,-1194,-1104,4,8,-1639,-2457,8,13,0
0,1,1,3,3,0,6,7,1194,1104,8,4,1639,2457,13,8,1
1,1,0,6,0,1,4,5,673,459,3,2,-1029,-1372,5,7,0
0,0,1,0,6,0,5,4,-673,-459,2,3,1029,1372,7,5,1
1,1,0,6,0,1,3,3,459,-930,3,3,1113,239,6,6,0
0,0,1,0,6,0,3,3,-459,930,3,3,-1113,-239,6,6,1
